,spot,fut_near,fut_far,basis_near,basis_far,basis_pct_near,basis_pct_far,fut_30d,basis_pct_30d
AARTIIND,640.2,643.35,648.0,3.15,7.8,0.49,1.22,643.35,5.99
ABB,7906.95,7894.95,7941.65,-12.0,34.7,-0.15,0.44,7894.95,-1.85
ABBOTINDIA,29737.5,29775.95,29949.15,38.45,211.65,0.13,0.71,29775.95,1.57
ABCAPITAL,222.77,223.09,224.4,0.32,1.63,0.14,0.73,223.09,1.75
ABFRL,321.9,323.35,322.7,1.45,0.8,0.45,0.25,323.35,5.48
ACC,2348.25,2345.4,2358.55,-2.85,10.3,-0.12,0.44,2345.4,-1.48
ADANIENT,3067.1,3065.0,3082.15,-2.1,15.05,-0.07,0.49,3065.0,-0.83
ADANIPORTS,1478.35,1477.0,1485.7,-1.35,7.35,-0.09,0.5,1477.0,-1.11
ALKEM,5891.0,5891.3,5927.85,0.3,36.85,0.01,0.63,5891.3,0.06
AMBUJACEM,624.45,624.95,628.55,0.5,4.1,0.08,0.66,624.95,0.97
APOLLOHOSP,6781.45,6762.95,6801.85,-18.5,20.4,-0.27,0.3,6762.95,-3.32
APOLLOTYRE,504.4,505.95,498.75,1.55,-5.65,0.31,-1.12,505.95,3.74
ASHOKLEY,262.15,261.65,263.0,-0.5,0.85,-0.19,0.32,261.65,-2.32
ASIANPAINT,3166.2,3163.75,3180.3,-2.45,14.1,-0.08,0.45,3163.75,-0.94
ASTRAL,1953.15,1951.2,1961.75,-1.95,8.6,-0.1,0.44,1951.2,-1.21
ATUL,7916.2,7905.3,7947.1,-10.9,30.9,-0.14,0.39,7905.3,-1.68
AUBANK,635.1,635.55,634.75,0.45,-0.35,0.07,-0.06,635.55,0.86
AUROPHARMA,1551.95,1551.25,1560.75,-0.7,8.8,-0.05,0.57,1551.25,-0.55
AXISBANK,1181.25,1181.15,1187.55,-0.1,6.3,-0.01,0.53,1181.15,-0.1
BAJAJ-AUTO,10501.6,10493.1,10553.85,-8.5,52.25,-0.08,0.5,10493.1,-0.98
BAJAJFINSV,1719.0,1720.15,1732.65,1.15,13.65,0.07,0.79,1720.15,0.81
BAJFINANCE,6863.6,6868.5,6908.55,4.9,44.95,0.07,0.65,6868.5,0.87
BALKRISIND,2821.1,2823.45,2832.65,2.35,11.55,0.08,0.41,2823.45,1.01
BALRAMCHIN,569.55,572.25,574.3,2.7,4.75,0.47,0.83,572.25,5.77
BANDHANBNK,201.06,200.92,201.74,-0.14,0.68,-0.07,0.34,200.92,-0.85
BANKBARODA,251.2,250.85,252.25,-0.35,1.05,-0.14,0.42,250.85,-1.7
BATAINDIA,1453.25,1453.05,1445.35,-0.2,-7.9,-0.01,-0.54,1453.05,-0.17
BEL,300.9,300.9,302.65,0.0,1.75,0.0,0.58,300.9,0.0
BERGEPAINT,584.15,583.3,585.95,-0.85,1.8,-0.15,0.31,583.3,-1.77
BHARATFORG,1607.4,1604.2,1610.55,-3.2,3.15,-0.2,0.2,1604.2,-2.42
BHARTIARTL,1522.75,1517.6,1527.1,-5.15,4.35,-0.34,0.29,1517.6,-4.11
BHEL,297.8,297.7,299.35,-0.1,1.55,-0.03,0.52,297.7,-0.41
BIOCON,352.75,353.05,355.15,0.3,2.4,0.09,0.68,353.05,1.03
BOSCHLTD,32299.95,32356.7,32277.0,56.75,-22.95,0.18,-0.07,32356.7,2.14
BPCL,349.05,349.15,351.25,0.1,2.2,0.03,0.63,349.15,0.35
BRITANNIA,5764.3,5749.95,5782.0,-14.35,17.7,-0.25,0.31,5749.95,-3.03
BSOFT,646.35,646.6,650.15,0.25,3.8,0.04,0.59,646.6,0.47
CANBK,110.85,110.85,111.49,0.0,0.64,0.0,0.58,110.85,0.0
CANFINHOME,861.3,860.55,851.6,-0.75,-9.7,-0.09,-1.13,860.55,-1.06
CHAMBLFERT,515.75,517.15,519.5,1.4,3.75,0.27,0.73,517.15,3.3
CHOLAFIN,1443.8,1445.95,1454.0,2.15,10.2,0.15,0.71,1445.95,1.81
CIPLA,1598.05,1596.0,1605.45,-2.05,7.4,-0.13,0.46,1596.0,-1.56
COALINDIA,531.4,531.95,535.1,0.55,3.7,0.1,0.7,531.95,1.26
COFORGE,6080.9,6083.2,6119.15,2.3,38.25,0.04,0.63,6083.2,0.46
COLPAL,3540.4,3549.05,3566.9,8.65,26.5,0.24,0.75,3549.05,2.97
CONCOR,984.95,986.25,989.05,1.3,4.1,0.13,0.42,986.25,1.61
COROMANDEL,1742.6,1747.2,1753.5,4.6,10.9,0.26,0.63,1747.2,3.21
CROMPTON,469.45,469.7,472.8,0.25,3.35,0.05,0.71,469.7,0.65
CUB,170.01,169.78,170.78,-0.23,0.77,-0.14,0.45,169.78,-1.65
CUMMINSIND,3768.6,3759.0,3779.3,-9.6,10.7,-0.25,0.28,3759.0,-3.1
DABUR,643.4,642.3,646.1,-1.1,2.7,-0.17,0.42,642.3,-2.08
DALBHARAT,1821.8,1822.55,1830.15,0.75,8.35,0.04,0.46,1822.55,0.5
DEEPAKNTR,2869.65,2876.7,2869.75,7.05,0.1,0.25,0.0,2876.7,2.99
DIVISLAB,4902.5,4895.9,4917.15,-6.6,14.65,-0.13,0.3,4895.9,-1.64
DIXON,13227.55,13206.35,13270.3,-21.2,42.75,-0.16,0.32,13206.35,-1.95
DLF,846.35,847.65,852.3,1.3,5.95,0.15,0.7,847.65,1.87
DRREDDY,6962.95,6974.6,7011.8,11.65,48.85,0.17,0.7,6974.6,2.04
EICHERMOT,4868.85,4857.65,4878.15,-11.2,9.3,-0.23,0.19,4857.65,-2.8
ESCORTS,3865.9,3858.85,3880.55,-7.05,14.65,-0.18,0.38,3858.85,-2.22
EXIDEIND,498.7,499.55,500.35,0.85,1.65,0.17,0.33,499.55,2.07
FEDERALBNK,196.92,196.7,197.93,-0.22,1.01,-0.11,0.51,196.7,-1.36
GAIL,236.52,236.01,237.28,-0.51,0.76,-0.22,0.32,236.01,-2.62
GLENMARK,1707.3,1707.65,1716.35,0.35,9.05,0.02,0.53,1707.65,0.25
GMRINFRA,95.5,95.66,96.22,0.16,0.72,0.17,0.75,95.66,2.04
GNFC,680.6,680.8,685.0,0.2,4.4,0.03,0.65,680.8,0.36
GODREJCP,1456.35,1454.15,1460.75,-2.2,4.4,-0.15,0.3,1454.15,-1.84
GODREJPROP,2894.3,2898.5,2915.45,4.2,21.15,0.15,0.73,2898.5,1.77
GRANULES,674.15,673.55,678.15,-0.6,4.0,-0.09,0.59,673.55,-1.08
GRASIM,2699.9,2704.3,2719.6,4.4,19.7,0.16,0.73,2704.3,1.98
GUJGASLTD,599.8,601.45,595.0,1.65,-4.8,0.28,-0.8,601.45,3.35
HAL,4721.45,4725.4,4752.0,3.95,30.55,0.08,0.65,4725.4,1.02
HAVELLS,1895.2,1893.2,1903.65,-2.0,8.45,-0.11,0.45,1893.2,-1.28
HCLTECH,1711.6,1708.4,1718.35,-3.2,6.75,-0.19,0.39,1708.4,-2.27
HDFCAMC,4507.35,4504.05,4527.55,-3.3,20.2,-0.07,0.45,4504.05,-0.89
HDFCBANK,1637.75,1636.05,1644.0,-1.7,6.25,-0.1,0.38,1636.05,-1.26
HDFCLIFE,739.55,738.0,742.7,-1.55,3.15,-0.21,0.43,738.0,-2.55
HEROMOTOCO,5356.55,5347.7,5377.7,-8.85,21.15,-0.17,0.39,5347.7,-2.01
HINDALCO,703.5,704.05,708.35,0.55,4.85,0.08,0.69,704.05,0.95
HINDCOPPER,329.75,330.5,331.35,0.75,1.6,0.23,0.49,330.5,2.77
HINDPETRO,404.35,404.6,407.15,0.25,2.8,0.06,0.69,404.6,0.75
HINDUNILVR,2766.9,2770.7,2785.85,3.8,18.95,0.14,0.68,2770.7,1.67
ICICIBANK,1226.35,1224.65,1231.25,-1.7,4.9,-0.14,0.4,1224.65,-1.69
ICICIGI,2153.35,2147.65,2158.7,-5.7,5.35,-0.26,0.25,2147.65,-3.22
ICICIPRULI,744.15,745.8,749.7,1.65,5.55,0.22,0.75,745.8,2.7
IDEA,16.04,16.02,16.13,-0.02,0.09,-0.12,0.56,16.02,-1.52
