,current_close,prev_expiry_close,prev_expiry_high,prev_expiry_low,current_oi,prev_expiry_oi,current_basis,prev_expiry_basis,price_change,oi_pct_change,basis_change,expiry_signal
AARTIIND,630.7,628.7,758.5,599.55,12984000.0,13474000.0,0.72,0.6,0.32,-3.64,0.12,price above close
ABB,7743.15,7876.5,8007.4,7470.85,1529625.0,1857375.0,0.68,0.54,-1.69,-17.65,0.14,price below close
ABBOTINDIA,30083.15,29983.4,29983.4,27059.25,117620.0,158320.0,0.44,0.63,0.33,-25.71,-0.19,price above high
ABCAPITAL,227.81,221.13,228.08,204.38,69676200.0,72343800.0,0.48,0.78,3.02,-3.69,-0.3,price above close
ABFRL,321.35,313.65,346.0,312.95,58112600.0,56131400.0,0.45,1.06,2.45,3.53,-0.61,price above close
ACC,2345.9,2310.2,2634.2,2283.5,5430900.0,6034800.0,0.53,0.73,1.55,-10.01,-0.19,price above close
ADANIENT,3061.3,3020.15,3241.85,2973.55,23100000.0,23957700.0,0.73,0.83,1.36,-3.58,-0.1,price above close
ADANIPORTS,1499.0,1476.05,1595.7,1462.65,28806800.0,30953600.0,0.42,0.73,1.55,-6.94,-0.32,price above close
ALKEM,6103.55,5999.3,5999.3,5182.3,2243800.0,2306600.0,0.59,0.71,1.74,-2.72,-0.12,price above high
AMBUJACEM,622.3,612.5,691.25,612.5,44063100.0,45175500.0,0.43,0.65,1.6,-2.46,-0.22,price above close
APOLLOHOSP,6920.6,6857.2,6857.2,6386.35,1672750.0,1861250.0,0.7,0.44,0.92,-10.13,0.26,price above high
APOLLOTYRE,498.15,492.35,556.45,480.3,12710900.0,14965100.0,-0.37,0.72,1.18,-15.06,-1.09,price above close
ASHOKLEY,252.1,253.8,261.65,232.43,63330000.0,61890000.0,0.37,0.82,-0.67,2.33,-0.45,price below close
ASIANPAINT,3167.3,3115.85,3183.75,2901.4,9678000.0,10956600.0,0.62,0.8,1.65,-11.67,-0.18,price above close
ASTRAL,1926.2,1930.75,2230.55,1868.2,5036341.0,5052122.0,0.6,0.62,-0.24,-0.31,-0.02,price below close
ATUL,7910.55,7840.5,8081.1,7300.5,816800.0,862700.0,0.53,0.62,0.89,-5.32,-0.08,price above close
AUBANK,679.15,640.35,652.95,604.4,20537000.0,21189000.0,-0.34,-0.19,6.06,-3.08,-0.15,price above high
AUROPHARMA,1562.7,1563.15,1564.45,1362.8,9995700.0,11307450.0,0.66,0.68,-0.03,-11.6,-0.03,price below close
AXISBANK,1192.6,1175.4,1184.45,1132.4,56961250.0,60334375.0,0.42,0.79,1.46,-5.59,-0.37,price above high
BAJAJ-AUTO,11145.7,10807.85,10807.85,9278.3,1707675.0,1876950.0,0.24,0.45,3.13,-9.02,-0.21,price above high
BAJAJFINSV,1849.05,1755.65,1755.65,1531.75,14337500.0,15368500.0,0.56,0.53,5.32,-6.71,0.03,price above high
BAJFINANCE,7461.3,7063.55,7063.55,6474.1,10437625.0,10238375.0,0.39,0.78,5.63,1.95,-0.39,price above high
BALKRISIND,2898.95,2851.6,3354.15,2782.55,1978200.0,2099400.0,0.21,0.51,1.66,-5.77,-0.3,price above close
BALRAMCHIN,595.0,578.8,589.0,447.3,,7744000.0,,0.82,2.8,,,price above high
BANDHANBNK,202.77,193.93,219.23,185.83,122704400.0,111174000.0,0.7,1.14,4.56,10.37,-0.44,price above close
BANKBARODA,255.35,249.8,257.5,240.25,198063450.0,203536125.0,0.69,0.9,2.22,-2.69,-0.21,price above close
BATAINDIA,1466.35,1450.3,1613.85,1379.3,2868375.0,3271125.0,0.43,0.4,1.11,-12.31,0.03,price above close
BEL,297.8,296.2,322.9,287.95,163484550.0,168172800.0,0.42,0.76,0.54,-2.79,-0.34,price above close
BERGEPAINT,578.6,572.05,583.3,519.35,12126840.0,12926760.0,0.47,0.53,1.15,-6.19,-0.06,price above close
BHARATFORG,1569.9,1577.9,1750.5,1524.65,8101500.0,8106000.0,0.59,0.86,-0.51,-0.06,-0.27,price below close
BHARTIARTL,1581.6,1565.9,1565.9,1443.15,43128575.0,45741550.0,0.75,0.34,1.0,-5.71,0.4,price above high
BHEL,287.8,291.0,324.65,287.85,85672125.0,86291625.0,0.47,0.83,-1.1,-0.72,-0.35,price below low
BIOCON,364.5,355.45,371.15,327.95,45100000.0,47627500.0,0.41,0.78,2.55,-5.31,-0.38,price above close
BOSCHLTD,32183.1,31732.25,35013.45,31077.1,295075.0,308200.0,-0.54,0.09,1.42,-4.26,-0.63,price above close
BPCL,360.5,356.45,356.45,322.5,61950600.0,67809600.0,0.67,0.81,1.14,-8.64,-0.14,price above high
BRITANNIA,5941.85,5831.4,5875.55,5657.5,2452400.0,2611200.0,0.44,0.55,1.89,-6.08,-0.11,price above high
BSOFT,669.4,679.0,731.8,569.55,11157000.0,12558000.0,0.69,0.77,-1.41,-11.16,-0.08,price below close
CANBK,113.15,110.28,116.73,105.5,306828000.0,307172250.0,0.44,0.8,2.6,-0.11,-0.35,price above close
CANFINHOME,869.95,882.9,882.9,770.6,5002725.0,5719350.0,-1.27,-1.86,-1.47,-12.53,0.59,price below close
CHAMBLFERT,531.6,508.9,529.25,487.5,12735700.0,12840200.0,0.52,1.04,4.46,-0.81,-0.52,price above high
CHOLAFIN,1492.95,1455.6,1455.6,1317.05,12011875.0,12533125.0,0.54,0.43,2.57,-4.16,0.12,price above high
CIPLA,1654.85,1618.55,1618.55,1500.05,10729550.0,11840400.0,0.61,0.55,2.24,-9.38,0.05,price above high
COALINDIA,522.45,527.55,538.7,493.85,55975500.0,55990200.0,0.42,0.78,-0.97,-0.03,-0.36,price below close
COFORGE,6377.45,6282.3,6355.15,5851.0,2205750.0,2316750.0,0.62,0.65,1.51,-4.79,-0.02,price above high
COLPAL,3644.35,3607.15,3607.15,3152.45,2657900.0,2898700.0,0.45,0.78,1.03,-8.31,-0.33,price above high
CONCOR,965.05,963.0,1050.3,952.2,24543000.0,24701000.0,0.41,0.51,0.21,-0.64,-0.1,price above close
COROMANDEL,1752.05,1724.85,1784.3,1609.95,2982000.0,3864000.0,0.48,0.53,1.58,-22.83,-0.05,price above close
CROMPTON,467.6,465.0,469.7,418.2,12254400.0,13435200.0,0.69,0.7,0.56,-8.79,-0.01,price above close
CUB,171.01,168.15,172.54,159.05,29090000.0,29125000.0,0.48,0.92,1.7,-0.12,-0.44,price above close
CUMMINSIND,3827.6,3734.85,3877.85,3517.75,4521000.0,4670700.0,0.7,0.55,2.48,-3.21,0.16,price above close
DABUR,640.25,644.15,652.85,604.85,15190000.0,14132500.0,0.66,0.48,-0.61,7.48,0.18,price below close
DALBHARAT,1928.0,1845.65,1861.4,1727.2,3034075.0,4403575.0,0.5,0.86,4.46,-31.1,-0.36,price above high
