,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
SCHAEFFLER,23.09,36.29,17.16,33.17,-16.18,0.42,2.58,0.13
EXIDEIND,49.59,48.44,76.92,55.48,-16.03,-3.66,2.9899999999999998,0.54
MRF,7.539999999999999,-4.61,25.55,5.8999999999999995,11.29,1.68,2.06,1.4000000000000001
ENDURANCE,25.16,30.29,54.08,35.93,-8.61,-3.04,-4.68,-0.77
APOLLOTYRE,21.310000000000002,6.23,43.980000000000004,19.48,6.43,9.46,5.029999999999999,4.71
MOTHERSON,102.45,73.15,109.43,79.08,3.95,4.32,0.19,-0.8999999999999999
EICHERMOT,19.45,30.509999999999998,46.37,26.3,5.0,-1.04,0.62,0.32
ASAHIINDIA,38.440000000000005,49.09,38.41,53.37,18.0,24.3,12.33,-3.0300000000000002
TATAMTRDVR,48.72,22.15,79.5,21.099999999999998,17.73,2.93,0.0,0.0
JBMA,26.029999999999998,-14.84,22.46,-1.28,-10.8,-5.53,-5.57,-1.41
TATAMOTORS,23.93,1.72,54.75,0.16999999999999998,-0.8699999999999999,-10.33,-0.35000000000000003,-0.84
TVSMOTOR,42.309999999999995,34.760000000000005,96.92,39.73,22.5,4.9,3.64,0.9199999999999999
CRAFTSMAN,22.48,58.07,37.87,66.69,20.990000000000002,7.290000000000001,7.6,1.91
M&M,80.04,61.129999999999995,98.83,66.88,7.779999999999999,10.47,10.489999999999998,1.35
BALKRISIND,18.54,36.370000000000005,21.85,31.61,-5.0,7.48,-1.8900000000000001,-3.1300000000000003
CEATLTD,29.7,10.24,47.910000000000004,24.51,21.11,9.47,10.52,6.08
MSUMI,16.669999999999998,2.7,10.41,14.81,-2.85,1.71,2.45,2.31
MARUTI,25.27,14.330000000000002,23.05,8.38,5.970000000000001,3.46,3.51,0.8099999999999999
CIEINDIA,21.47,29.68,15.790000000000001,29.459999999999997,-2.74,-2.94,-1.82,-4.07
BHARATFORG,26.71,36.02,41.589999999999996,42.07,-6.84,-1.58,-1.67,-1.43
TIINDIA,17.18,18.89,22.91,11.89,-1.3299999999999998,-0.19,4.19,-3.2
BOSCHLTD,68.49,29.9,91.95,23.53,6.88,15.72,7.33,1.37
MINDACORP,56.19,43.230000000000004,75.97,50.080000000000005,23.78,2.97,15.64,2.3
BAJAJ-AUTO,83.87,58.02,157.98000000000002,42.82,31.64,16.33,4.46,0.47000000000000003
ARE&M,67.89,63.29,115.33,81.17,-14.89,-11.08,-0.58,-0.7100000000000001
UNOMINDA,67.69,72.04,85.81,77.25999999999999,7.380000000000001,1.97,8.72,0.91
ZFCVINDIA,0.25,10.489999999999998,-1.55,4.99,3.4799999999999995,5.45,-3.05,-1.9300000000000002
SONACOMS,13.819999999999999,6.15,24.97,7.79,12.78,4.279999999999999,0.21,-2.69
VARROC,3.65,17.82,28.01,15.950000000000001,-11.61,2.04,1.52,1.39
RKFORGE,38.25,28.27,40.849999999999994,50.81,13.26,5.58,-0.09,-1.4000000000000001
HEROMOTOCO,48.949999999999996,38.550000000000004,105.64,35.69,11.81,14.63,1.37,-1.6500000000000001
HBLPOWER,37.95,15.57,130.96,32.35,19.66,-7.13,-1.55,-1.4500000000000002
SUNDRMFAST,12.46,31.2,13.919999999999998,36.91,4.99,2.8000000000000003,-1.0,0.98
OLECTRA,24.04,-15.06,39.78,-5.7299999999999995,-6.279999999999999,5.47,0.53,-1.8900000000000001
