,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
TITAGARH,41.36,57.37,126.91,56.57,20.48,-10.08,1.83,4.36
HEG,7.12,26.279999999999998,18.02,16.009999999999998,-15.28,-4.2,-3.6900000000000004,0.8200000000000001
POWERINDIA,134.61,105.69999999999999,194.54,105.55000000000001,11.43,2.6599999999999997,7.26,11.020000000000001
KEI,34.55,36.17,84.14,35.75,4.760000000000001,4.6,1.46,1.81
POLYCAB,21.19,39.95,44.529999999999994,52.980000000000004,2.41,4.66,0.48,3.17
SIEMENS,76.88000000000001,51.78,85.67,68.37,-1.16,4.89,2.62,0.88
CARBORUNIV,40.69,46.300000000000004,33.4,35.980000000000004,-9.629999999999999,-9.030000000000001,0.6,0.6799999999999999
GMMPFAUDLR,-19.28,-0.06,-9.89,-4.63,-7.37,-9.34,-1.95,2.2399999999999998
SHYAMMETL,14.149999999999999,10.27,77.78,8.959999999999999,14.75,3.58,-3.49,-2.33
COCHINSHIP,219.66000000000003,146.31,561.72,167.62,52.339999999999996,-15.790000000000001,-7.3,-2.71
HONAUT,41.510000000000005,37.47,23.080000000000002,37.86,-1.46,-4.03,2.03,1.9
CGPOWER,56.830000000000005,60.3,76.0,61.69,8.559999999999999,1.9300000000000002,0.67,0.59
TRITURBINE,86.63,58.540000000000006,100.55000000000001,84.8,25.19,29.439999999999998,12.73,-1.02
HAPPYFORGE,17.47,30.259999999999998,17.29,21.7,14.84,-1.7000000000000002,-2.02,0.72
HAL,72.16,55.38999999999999,158.28,69.62,5.75,-1.18,1.39,2.8000000000000003
SCHNEIDER,96.99,26.51,183.99,43.34,-8.110000000000001,7.17,-1.95,1.5699999999999998
BORORENEW,17.14,-4.25,2.71,5.06,2.64,-8.01,1.49,5.01
RHIM,-20.810000000000002,11.76,-5.1499999999999995,-8.85,-3.39,8.200000000000001,7.62,7.720000000000001
MAZDOCK,107.13999999999999,126.62,163.84,116.53,71.39,-6.4,-4.78,-5.48
THERMAX,40.32,18.88,72.16,30.570000000000004,-12.5,-12.67,1.34,0.3
MAHSEAMLES,-31.490000000000002,-31.34,31.96,-31.96,-21.95,-1.48,6.7,8.12
SYRMA,-36.86,-19.2,-10.48,-15.310000000000002,7.16,-10.42,4.54,4.32
