,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
GSFC,-8.01,2.19,30.349999999999998,12.629999999999999,-8.450000000000001,-0.58,-1.26,-0.18
DEEPAKNTR,17.47,31.71,31.66,35.15,8.48,2.75,1.58,3.11
PIIND,32.910000000000004,27.029999999999998,33.46,21.66,24.19,0.76,0.83,0.69
CLEAN,2.12,11.76,9.94,17.16,4.24,3.04,3.61,1.23
JUBLINGREA,54.0,61.63999999999999,66.10000000000001,73.22,49.230000000000004,0.6799999999999999,2.62,1.4500000000000002
ACI,11.43,-4.5600000000000005,21.11,10.620000000000001,-0.8699999999999999,4.93,2.2800000000000002,4.43
RCF,14.469999999999999,28.939999999999998,44.29,42.980000000000004,-7.02,-2.17,-3.08,-0.11
SUMICHEM,39.89,49.08,32.0,61.35,8.82,0.36,-1.21,1.49
AARTIIND,-10.13,-11.0,15.0,-11.31,-17.89,-0.6799999999999999,-0.96,0.09
NAVINFLUOR,-10.52,14.13,-23.53,9.950000000000001,-4.35,1.83,1.72,1.72
COROMANDEL,34.29,56.18,54.05,56.69,7.03,1.8499999999999999,0.7100000000000001,2.48
SOLARINDS,71.50999999999999,71.44,150.95000000000002,29.78,4.71,-0.96,1.0699999999999998,-1.9800000000000002
TATACHEM,0.16999999999999998,17.76,5.56,-0.38,-0.38,3.1199999999999997,3.92,3.4799999999999995
UPL,4.6,30.78,-1.32,34.849999999999994,8.4,2.27,1.5599999999999998,2.0
EIDPARRY,54.02,36.26,60.06,57.24,12.509999999999998,2.86,3.9899999999999998,3.56
ATUL,7.79,24.04,7.89,33.339999999999996,17.46,2.41,1.71,1.68
CHEMPLASTS,2.86,9.229999999999999,3.29,14.85,-5.82,-1.1199999999999999,-0.9900000000000001,0.52
FLUOROCHEM,15.590000000000002,15.52,41.339999999999996,37.74,32.33,0.44999999999999996,-0.79,0.27
ALKYLAMINE,-9.13,7.5,-4.91,25.069999999999997,6.909999999999999,-2.68,-3.65,-1.83
BAYERCROP,16.07,13.669999999999998,24.87,21.83,-1.44,2.58,3.32,2.3800000000000003
LINDEINDIA,50.59,57.769999999999996,43.28,33.2,0.06,-2.27,-0.59,-1.13
HSCL,114.1,79.92,179.53,114.97,64.92,0.22999999999999998,2.59,0.72
GNFC,-8.09,8.01,13.94,9.83,-3.25,1.5599999999999998,1.66,1.15
FINEORG,5.54,21.29,2.92,28.48,0.43,-0.6,-0.69,-0.43
LXCHEM,-1.8800000000000001,12.659999999999998,-1.25,22.6,9.370000000000001,-4.71,-5.5,-2.22
FACT,19.75,34.77,82.92,50.22,-3.7900000000000005,-1.49,-2.1,-0.37
PIDILITIND,24.36,23.41,35.099999999999994,12.839999999999998,9.44,3.15,2.8899999999999997,2.12
PCBL,133.6,101.92000000000002,257.87,118.09,126.11000000000001,8.64,8.9,6.529999999999999
SRF,1.05,4.68,8.0,-0.8500000000000001,4.5,1.8800000000000001,2.69,1.6099999999999999
ANURAS,-29.880000000000003,-22.86,-20.18,-14.530000000000001,-3.47,-0.67,-0.64,0.06
DEEPAKFERT,58.269999999999996,112.61000000000001,72.02,120.93,50.3,0.37,-0.64,-0.42
BALAMINES,-13.900000000000002,5.6899999999999995,2.17,11.200000000000001,-5.13,-0.45999999999999996,-1.0999999999999999,0.02
CHAMBLFERT,42.61,51.690000000000005,91.52,54.790000000000006,4.8,2.68,5.6000000000000005,4.2
AETHER,4.9399999999999995,6.05,-4.92,19.36,1.9900000000000002,-1.8599999999999999,-4.65,1.32
