,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
INDIACEM,40.54,58.989999999999995,58.78,54.93,74.68,4.05,-0.51,-0.29
GRASIM,26.75,22.99,47.410000000000004,29.59,10.61,-3.9800000000000004,6.859999999999999,3.3300000000000005
ULTRACEMCO,7.28,13.900000000000002,38.91,15.120000000000001,13.87,-1.6199999999999999,1.7999999999999998,-1.01
SHREECEM,-13.089999999999998,-2.54,2.34,-7.59,-3.2,-9.959999999999999,1.9300000000000002,-0.16
ACC,5.45,-11.32,17.34,-10.99,-8.32,-11.23,1.8900000000000001,-0.95
DALBHARAT,-22.64,-13.08,-12.4,-14.2,-4.7,-0.8999999999999999,1.68,-0.76
AMBUJACEM,21.17,4.17,36.42,10.549999999999999,-0.3,-7.79,0.97,-0.7000000000000001
PRSMJOHNSN,-11.899999999999999,-7.26,21.85,-6.370000000000001,11.87,1.7500000000000002,4.02,3.6799999999999997
BIRLACORPN,-8.75,-19.91,7.960000000000001,-22.89,-8.49,-14.12,3.8600000000000003,0.67
RAMCOCEM,-20.07,-2.35,-5.64,-5.09,5.36,3.45,3.6999999999999997,0.01
JKLAKSHMI,-11.25,-13.320000000000002,22.86,-12.590000000000002,0.02,-6.15,-0.97,0.98
JKCEMENT,13.65,-4.64,27.71,2.73,8.52,-3.5999999999999996,4.7,-0.29
NUVOCO,-11.08,2.6100000000000003,-5.029999999999999,0.59,5.67,-1.51,1.9800000000000002,2.02
