,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
KPIL,74.89,28.37,95.91,43.2,3.2,-7.33,-0.5,0.12
IRB,56.45,3.2800000000000002,152.19,5.37,-4.6899999999999995,-3.8,3.93,3.5999999999999996
IRCON,58.64,17.740000000000002,169.63,39.98,1.01,-7.7299999999999995,-0.8500000000000001,2.96
SWSOLAR,57.04,12.36,74.05000000000001,16.24,-15.559999999999999,1.6500000000000001,1.17,3.08
ENGINERSIN,29.87,5.319999999999999,49.669999999999995,9.56,-16.07,-13.77,-2.82,3.35
LT,1.6199999999999999,3.0300000000000002,35.93,8.59,3.83,1.01,-0.47000000000000003,0.27999999999999997
RVNL,215.89000000000001,134.8,359.25,149.78,97.21,-3.4099999999999997,-0.41000000000000003,3.5000000000000004
PNCINFRA,33.129999999999995,9.49,34.31,18.52,2.44,-9.030000000000001,-3.45,1.79
KEC,40.739999999999995,14.12,28.08,26.6,4.89,-6.35,-0.27999999999999997,1.58
NCC,96.52,32.62,116.46000000000001,54.06999999999999,18.82,-3.09,1.71,5.7299999999999995
NBCC,126.44999999999999,36.54,288.0,38.690000000000005,29.78,1.95,1.59,6.36
RITES,34.150000000000006,-14.249999999999998,50.260000000000005,-3.9600000000000004,-3.74,-3.16,-1.2,2.06
KNRCON,33.5,27.74,41.86,30.72,32.82,-8.9,-5.28,0.48
