,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
CERA,4.5,8.19,-4.75,17.98,-9.71,-1.38,-0.13,0.7000000000000001
BLUESTARCO,127.66999999999999,69.73,141.09,68.85,34.27,4.67,0.58,4.04
KAJARIACER,13.76,16.02,11.379999999999999,20.78,-2.19,-3.04,-1.44,0.5700000000000001
VOLTAS,89.34,67.02,114.00999999999999,60.85,27.750000000000004,-3.4099999999999997,-0.64,0.03
SAFARI,24.57,19.38,34.54,32.25,13.530000000000001,0.51,2.52,3.32
METROBRAND,-1.8900000000000001,9.31,14.41,10.24,-0.33999999999999997,-0.79,-2.68,-2.56
INDIGOPNTS,0.24,6.81,-3.55,13.77,8.21,1.0999999999999999,0.7000000000000001,2.15
KALYANKJIL,106.77000000000001,84.5,239.45,71.92,49.26,-3.65,1.9300000000000002,0.04
ASIANPAINT,-6.54,12.68,-2.73,10.75,7.31,-2.94,-3.9,-5.4
VAIBHAVGBL,-23.13,-27.99,-30.5,-19.15,-5.71,-2.9499999999999997,-1.1199999999999999,-3.26
BERGEPAINT,-0.62,-0.96,-10.22,6.08,17.130000000000003,-3.0700000000000003,-2.74,-4.06
KANSAINER,-9.07,4.64,-6.02,11.450000000000001,12.049999999999999,-2.1399999999999997,-0.77,-2.52
BATAINDIA,-15.52,-1.02,-14.6,1.8900000000000001,-7.59,-3.7600000000000002,-3.5999999999999996,-4.51
VIPIND,-12.24,-5.47,-20.59,-1.8599999999999999,9.26,-7.85,-4.64,-2.87
VGUARD,49.76,34.73,44.99,31.06,-6.04,-3.62,-2.17,-2.4
AMBER,64.7,40.22,74.03,39.97,14.77,7.430000000000001,10.63,7.380000000000001
DIXON,107.48,103.85,183.35,79.46,7.630000000000001,-3.8899999999999997,-3.4000000000000004,-1.3299999999999998
CROMPTON,38.43,47.89,45.37,59.309999999999995,5.33,-3.2199999999999998,1.9300000000000002,2.67
WHIRLPOOL,70.64,85.56,40.17,86.41,16.439999999999998,10.16,7.9399999999999995,1.6199999999999999
RAJESHEXPO,-22.67,-8.110000000000001,-44.5,-1.92,-1.73,-1.72,-1.48,-2.36
CELLO,13.15,4.37,12.5,13.389999999999999,-10.0,1.43,1.7399999999999998,-2.67
TITAN,0.31,1.73,12.6,-1.38,10.16,-1.67,-2.1999999999999997,-3.9
CENTURYPLY,14.52,24.97,38.26,36.05,22.23,-1.5699999999999998,0.03,-0.69
CAMPUS,16.06,33.32,10.620000000000001,43.19,8.7,-11.51,-9.16,-4.41
HAVELLS,45.03,29.25,42.46,30.69,4.8,-4.3,-2.4299999999999997,-1.9900000000000002
