,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
WESTLIFE,9.370000000000001,19.3,-7.829999999999999,10.31,6.84,-0.06999999999999999,-1.22,-0.5599999999999999
ZOMATO,125.29999999999998,68.45,178.42,49.04,31.119999999999997,-2.35,1.66,1.24
EASEMYTRIP,-18.59,-32.06,-21.87,-27.400000000000002,-20.580000000000002,-4.279999999999999,-3.38,-1.41
RTNINDIA,-4.92,-13.28,26.419999999999998,-6.329999999999999,-9.59,-8.59,-4.81,-0.8999999999999999
JUSTDIAL,51.76,31.840000000000003,68.65,34.57,21.95,4.1000000000000005,4.53,1.97
MEDPLUS,-12.690000000000001,-5.84,-13.88,-4.9,-2.97,-4.92,-1.4200000000000002,0.12
IRCTC,-0.98,-5.24,29.34,-11.95,-14.499999999999998,-2.9000000000000004,-6.02,0.27
NAUKRI,61.160000000000004,57.26,95.83,47.19,19.29,4.21,0.8999999999999999,0.8699999999999999
TRENT,163.42000000000002,107.30999999999999,280.7,101.03,43.79,5.609999999999999,5.64,9.370000000000001
INDHOTEL,56.66,17.05,66.21000000000001,11.129999999999999,12.42,-3.56,0.43,3.51
MHRIL,2.74,-6.5,-0.59,-6.75,-15.17,-1.1900000000000002,-2.21,0.01
INDIAMART,9.65,12.43,2.53,17.57,8.959999999999999,1.2,-1.25,4.2299999999999995
BLS,11.23,-3.09,39.62,1.7500000000000002,-6.0,-8.44,-5.48,-0.03
JUBLFOOD,9.139999999999999,32.93,11.81,32.67,7.55,-12.68,-6.59,-2.19
DMART,9.379999999999999,13.950000000000001,22.650000000000002,-3.8699999999999997,-7.090000000000001,-15.190000000000001,-9.87,-5.74
MANYAVAR,5.4,29.849999999999998,2.69,41.81,26.82,0.67,-2.2800000000000002,2.13
ABFRL,49.15,48.16,54.75,40.78,3.5900000000000003,-2.8400000000000003,-5.3100000000000005,0.2
RBA,-4.64,-0.5,-16.580000000000002,1.78,-6.38,-5.81,-3.08,-3.2199999999999998
LEMONTREE,-3.9600000000000004,-17.43,-2.75,-19.03,-23.580000000000002,-5.96,-5.45,-2.45
DEVYANI,-8.39,15.559999999999999,-14.77,14.44,6.7299999999999995,-14.95,-8.0,-0.53
NYKAA,11.29,23.380000000000003,29.84,17.65,10.12,-2.33,-1.9,0.69
CHALET,27.16,9.27,61.44,4.390000000000001,5.07,-1.0999999999999999,2.37,2.73
EIHOTEL,57.3,-2.8400000000000003,74.00999999999999,-16.75,-8.82,5.09,2.6,0.06
SAPPHIRE,22.97,16.33,22.24,16.84,11.98,-5.6899999999999995,-2.5100000000000002,-0.27
