,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
RADICO,23.57,30.53,69.56,22.66,17.19,-3.05,-4.83,-4.15
KRBL,-18.12,-4.3999999999999995,-25.779999999999998,8.81,0.9900000000000001,-0.8200000000000001,-0.12,-0.67
JYOTHYLAB,17.380000000000003,21.66,58.879999999999995,25.95,17.78,4.62,4.07,3.62
HONASA,4.08,10.79,36.1,15.950000000000001,5.4,-3.7800000000000002,-3.3000000000000003,-4.109999999999999
ITC,15.790000000000001,29.79,18.13,23.21,21.77,0.12,0.5599999999999999,-0.88
GILLETTE,31.55,30.28,37.059999999999995,29.38,15.86,-0.6799999999999999,-3.35,-0.62
TRIVENI,39.2,44.55,27.22,51.68000000000001,21.67,-0.83,-0.5499999999999999,0.73
NESTLEIND,1.9300000000000002,4.06,20.150000000000002,5.27,6.18,-0.27,-0.24,-2.3800000000000003
AWL,-1.8599999999999999,-8.74,-0.27,7.670000000000001,3.74,0.8699999999999999,-0.38999999999999996,0.77
VBL,22.91,7.93,68.05,9.84,-3.6900000000000004,-4.26,-6.2700000000000005,-3.2800000000000002
MCDOWELL-N,,,,,,,,
UBL,22.470000000000002,28.82,36.65,28.79,7.62,2.13,0.96,0.86
AVANTIFEED,51.07000000000001,25.25,42.96,29.65,3.82,-3.4000000000000004,-5.21,-2.4899999999999998
PATANJALI,7.359999999999999,9.969999999999999,30.75,23.86,1.35,-2.93,-2.01,-1.66
BALRAMCHIN,58.089999999999996,73.99,48.24,79.17999999999999,48.949999999999996,6.74,6.419999999999999,5.8999999999999995
BIKAJI,69.02000000000001,76.87,89.53,88.03999999999999,27.35,-3.4000000000000004,-3.3099999999999996,-5.79
BBTC,82.25,65.18,144.46,85.64,38.09,5.609999999999999,7.829999999999999,6.419999999999999
BRITANNIA,20.27,29.310000000000002,41.82,30.5,18.86,2.55,2.18,1.34
CCL,10.08,12.1,13.139999999999999,19.98,18.86,-1.72,-2.77,-1.46
HINDUNILVR,12.13,23.830000000000002,21.98,33.37,19.040000000000003,0.32,0.26,-0.9299999999999999
MARICO,28.389999999999997,34.75,23.27,40.54,15.290000000000001,0.8999999999999999,-1.38,0.26
COLPAL,51.849999999999994,52.03,94.03,44.48,32.519999999999996,3.47,3.3300000000000005,2.87
DOMS,116.09,78.52,103.83,69.37,26.150000000000002,-0.6,2.91,2.29
TATACONSUM,10.89,1.27,38.58,10.459999999999999,8.32,0.62,-1.21,-1.3599999999999999
DABUR,12.68,16.669999999999998,12.47,20.36,4.16,-0.29,-4.67,-0.09
GODFRYPHLP,234.20000000000002,138.3,244.55,128.77,66.85,-1.92,-4.52,-2.23
GODREJCP,24.560000000000002,12.030000000000001,43.02,14.09,1.9900000000000002,-2.53,-3.66,-2.03
PGHH,-3.4000000000000004,5.92,-3.56,1.28,0.84,1.7999999999999998,0.89,1.5599999999999998
GAEL,-30.3,-34.83,-7.539999999999999,-19.139999999999997,-6.140000000000001,1.8900000000000001,0.45999999999999996,-0.16999999999999998
RENUKA,15.52,16.89,-1.1400000000000001,36.35,10.0,11.3,14.46,13.200000000000001
EMAMILTD,37.1,64.42,43.56,75.03,5.92,3.18,0.69,3.2300000000000004
