,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
L&TFH,,,,,,,,
POLICYBZR,128.95000000000002,55.85,148.78,81.78,45.29,21.47,9.53,7.2700000000000005
PAYTM,-16.53,31.52,-38.6,48.010000000000005,48.699999999999996,16.24,-7.41,-4.21
KARURVYSYA,33.739999999999995,23.03,85.83,23.43,14.57,5.4399999999999995,1.27,0.06999999999999999
PNBHOUSING,12.47,26.479999999999997,35.33,17.52,9.92,13.16,8.290000000000001,1.26
JIOFIN,38.76,4.2700000000000005,29.87,17.97,-10.22,-3.42,-3.26,-1.9300000000000002
KOTAKBANK,-4.91,7.3999999999999995,1.1400000000000001,4.8,6.05,3.8,0.38,-0.49
RECLTD,46.6,36.91,175.4,29.29,3.47,-1.8399999999999999,-1.68,-0.9199999999999999
LICHSGFIN,25.86,4.14,63.13999999999999,6.279999999999999,5.3100000000000005,-13.719999999999999,0.01,-1.11
MCX,52.55,29.69,210.17999999999998,31.61,28.18,20.04,2.2399999999999998,2.1399999999999997
MOTILALOFS,-38.25,88.25,-18.81,73.2,34.23,33.81,12.2,8.200000000000001
PEL,15.47,17.57,4.9,20.95,29.67,14.17,5.92,2.5700000000000003
RBLBANK,-17.75,-11.690000000000001,3.4299999999999997,-12.049999999999999,-9.32,-3.46,4.35,-0.8
LICI,27.55,3.42,61.919999999999995,0.9199999999999999,2.1,-9.35,-1.49,-2.18
PNB,22.75,-3.54,88.5,-8.5,-9.28,-0.33,-1.01,-1.02
MFSL,12.43,10.65,26.86,9.5,12.030000000000001,-1.92,5.36,1.43
POONAWALLA,-6.29,-12.97,-6.08,-14.11,-9.49,6.81,1.68,0.86
MANAPPURAM,27.439999999999998,23.799999999999997,50.46000000000001,18.94,24.08,2.9499999999999997,4.03,-0.01
PFC,37.26,30.0,152.15,21.81,0.7100000000000001,-1.5699999999999998,-1.3,-0.6
M&MFIN,16.39,13.639999999999999,14.649999999999999,11.57,19.61,5.57,3.85,0.53
MUTHOOTFIN,33.06,50.67,53.21,44.98,15.0,11.110000000000001,3.25,0.42
KFINTECH,110.26,47.92,167.72,59.12,34.949999999999996,37.28,1.16,-0.09
360ONE,57.769999999999996,54.66,119.73,58.4,34.75,8.4,0.5,0.5499999999999999
JMFINANCIL,7.06,9.28,43.18,2.82,28.03,3.18,9.049999999999999,11.07
UCOBANK,30.69,-8.38,77.0,-14.34,-15.299999999999999,-7.3999999999999995,-1.02,-1.58
CRISIL,4.67,-9.53,19.13,-9.69,6.239999999999999,6.0,-1.96,-0.53
CSBBANK,-22.35,-7.03,6.64,-11.03,-2.36,-9.59,1.1199999999999999,-1.68
CANFINHOME,10.100000000000001,10.56,16.82,6.83,15.39,0.25,0.5499999999999999,0.32
CANBK,30.78,1.37,73.61999999999999,-0.12,-2.19,-0.9299999999999999,0.04,-0.8200000000000001
CGCL,-72.08,-10.92,-71.77,-9.87,-3.1,1.87,4.9,0.29
CENTRALBK,22.02,-2.4299999999999997,83.3,-8.690000000000001,-10.299999999999999,-3.09,1.34,0.72
CDSL,68.93,60.760000000000005,164.89000000000001,67.36999999999999,45.45,29.14,6.660000000000001,6.21
CHOLAHLDNG,62.49,60.67,81.26,56.48,50.81,12.98,5.1499999999999995,2.36
CHOLAFIN,10.91,28.139999999999997,34.64,23.150000000000002,9.9,0.44,0.52,2.15
CUB,13.01,24.59,38.59,22.15,16.53,4.78,-1.29,-0.69
CAMS,69.1,45.34,83.31,54.63,26.619999999999997,9.19,0.5499999999999999,1.06
CREDITACC,-23.51,-16.93,-12.030000000000001,-20.23,-11.34,-6.02,-1.39,-0.73
NIACL,25.86,2.58,114.71000000000001,-10.69,13.5,1.71,2.3,-1.43
J&KBANK,-9.33,-22.09,44.440000000000005,-22.39,-15.09,4.1000000000000005,-1.28,-1.58
UTIAMC,37.74,33.12,55.60000000000001,30.86,30.11,14.979999999999999,4.19,3.29
EQUITASBNK,-21.27,-16.650000000000002,-3.1300000000000003,-22.040000000000003,-13.3,-7.180000000000001,-2.42,-1.9300000000000002
UJJIVANSFB,-20.52,-14.91,-9.09,-18.22,-15.39,-1.71,0.7799999999999999,-0.11
BANKINDIA,6.79,-8.52,34.050000000000004,-15.790000000000001,-9.21,-2.3,-1.41,-2.82
AUBANK,-19.42,11.34,-10.209999999999999,5.86,-0.02,-3.9600000000000004,1.9800000000000002,0.01
AAVAS,10.100000000000001,15.950000000000001,5.38,16.97,3.61,-4.109999999999999,0.8200000000000001,-0.42
YESBANK,12.26,-1.51,42.059999999999995,-11.14,4.47,-3.29,-1.7500000000000002,-2.03
ABCAPITAL,33.31,20.78,21.45,20.200000000000003,-2.22,2.93,1.7000000000000002,-0.65
ANANDRATHI,41.620000000000005,0.44999999999999996,159.69,-0.33999999999999997,-9.89,-3.45,2.06,-2.4699999999999998
ANGELONE,-23.53,-4.52,51.09,-17.73,2.87,21.81,-1.48,1.53
APTUS,-1.13,-10.72,17.76,-9.04,0.89,-2.55,1.46,-1.23
UNIONBANK,7.35,-12.61,38.67,-9.42,-20.09,-7.3999999999999995,-0.8,-2.44
AXISBANK,6.25,8.94,24.6,10.18,-1.3299999999999998,-5.56,0.2,0.03
BSE,23.48,15.879999999999999,211.68999999999997,19.009999999999998,1.4500000000000002,13.020000000000001,0.91,0.03
BAJFINANCE,-7.03,4.88,-2.93,1.48,-1.21,2.59,0.84,0.52
BAJAJFINSV,0.09,5.86,13.850000000000001,4.14,5.7299999999999995,6.77,5.25,3.7199999999999998
BAJAJHLDNG,29.470000000000002,8.6,38.2,11.95,24.39,4.32,1.38,0.31
BANDHANBNK,-16.49,3.06,-11.48,-1.06,6.64,7.17,1.6,-2.6100000000000003
BANKBARODA,11.82,-2.65,36.91,-4.54,-4.4799999999999995,0.98,-1.16,-1.06
MAHABANK,39.87,5.779999999999999,62.55,1.94,-12.520000000000001,-8.08,-2.1999999999999997,-1.6400000000000001
TMB,-8.23,-4.5,-1.9,-6.69,-1.9800000000000002,0.7100000000000001,0.01,0.19
TATAINVEST,44.89,-14.790000000000001,152.47,8.44,-5.55,-4.109999999999999,-0.2,-0.9299999999999999
FIVESTAR,0.16,4.21,-6.54,-0.37,4.55,-1.0999999999999999,2.7,-0.18
FEDERALBNK,28.02,32.92,50.31,22.68,22.16,-0.66,-1.8599999999999999,-1.68
