,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
SYNGENE,26.650000000000002,25.83,12.75,18.6,17.93,0.89,0.05,0.79
VIJAYA,59.29,67.0,112.41000000000001,57.620000000000005,38.769999999999996,18.14,9.11,8.72
PPLPHARMA,66.86,75.64999999999999,131.10999999999999,66.97999999999999,51.54,2.3,3.3099999999999996,4.62
SUVENPHAR,67.36,92.2,110.91,93.37,40.89,1.03,0.41000000000000003,0.9199999999999999
SUNPHARMA,52.080000000000005,20.69,71.15,23.669999999999998,20.21,1.49,-1.68,-0.18
SPARC,-25.7,-41.589999999999996,-8.44,-47.8,-10.12,-1.46,2.85,-0.04
TORNTPHARM,53.290000000000006,31.46,90.98,35.97,17.560000000000002,2.03,-1.68,0.02
POLYMED,66.36,58.57,76.03999999999999,60.150000000000006,16.53,6.8500000000000005,5.609999999999999,5.609999999999999
RAINBOW,23.45,8.52,42.18,9.86,24.25,6.11,4.41,4.09
SANOFI,-13.209999999999999,-18.709999999999997,-3.9899999999999998,-17.8,7.580000000000001,-3.18,-0.5,-0.7000000000000001
JBCHEPHARM,16.85,21.15,26.99,5.13,5.11,-1.25,5.36,4.390000000000001
CAPLIPOINT,42.25,30.080000000000002,78.29,49.17,25.52,-1.71,1.0,0.86
CONCORDBIO,32.18,33.61,78.5,24.709999999999997,13.68,-13.05,-0.72,2.0500000000000003
IPCALAB,53.25,42.96,84.38,27.400000000000002,40.04,13.669999999999998,5.65,2.91
FORTIS,48.13,52.2,89.25999999999999,43.93,27.01,4.09,2.02,3.2300000000000004
ALKEM,21.34,22.31,82.58,32.43,18.39,0.62,-0.44999999999999996,1.2
GLAND,-13.389999999999999,-5.609999999999999,-0.22999999999999998,-4.73,-18.73,-11.200000000000001,-2.96,-2.87
GLAXO,44.18,25.91,77.64999999999999,45.46,3.18,-0.84,-3.93,-2.8899999999999997
LUPIN,70.89,39.46,96.73,39.36,22.0,1.34,-1.54,1.1900000000000002
GLS,83.05,38.49,101.25,48.68,40.65,13.719999999999999,0.08,2.09
GLENMARK,111.66,95.38,127.86999999999999,71.85000000000001,28.12,6.8500000000000005,1.05,0.8
LAURUSLABS,12.15,18.82,22.38,9.180000000000001,3.64,4.45,6.1899999999999995,1.66
MEDANTA,11.49,-21.61,44.519999999999996,-23.52,-11.5,-0.44,6.78,4.36
GRANULES,48.29,29.299999999999997,69.67999999999999,42.53,15.440000000000001,7.86,4.53,-0.7000000000000001
APLLTD,53.12,14.04,49.87,18.34,6.13,-2.8000000000000003,-6.58,-1.8599999999999999
KIMS,41.33,23.93,44.98,41.42,31.81,2.31,4.58,1.94
AJANTPHARM,60.22,49.45,89.84,56.00000000000001,48.13,1.9,-2.22,-1.3599999999999999
CIPLA,27.18,7.07,36.52,13.48,4.9399999999999995,-4.35,-6.47,-1.5
JUBLPHARMA,125.34,116.31,189.64000000000001,92.77,66.36999999999999,0.88,5.01,6.6000000000000005
MANKIND,38.58,28.64,54.63,18.4,29.849999999999998,1.7000000000000002,2.25,-1.6199999999999999
FDC,42.49,29.360000000000003,47.339999999999996,25.369999999999997,14.19,0.98,6.11,5.35
ZYDUSLIFE,53.92,12.620000000000001,75.32,10.25,-10.47,-0.5,-0.6799999999999999,-0.59
METROPOLIS,34.65,41.05,58.050000000000004,22.7,10.74,3.64,-1.27,-0.64
AUROPHARMA,36.730000000000004,43.96,69.46,35.980000000000004,7.95,-3.06,-1.94,-1.06
NH,5.9799999999999995,-5.07,17.1,-1.13,2.39,1.22,3.8899999999999997,3.9800000000000004
BIOCON,41.27,27.55,33.800000000000004,28.720000000000002,-0.33999999999999997,-5.18,1.48,1.7500000000000002
MAXHEALTH,41.449999999999996,22.35,72.56,11.51,5.390000000000001,-2.11,0.7000000000000001,3.11
DIVISLAB,57.38999999999999,76.11,66.18,62.56,34.42,13.209999999999999,1.95,-0.58
LALPATHLAB,32.73,44.78,40.23,44.37,13.33,1.81,-5.94,-3.27
ASTERDM,35.620000000000005,17.9,69.16,13.84,27.6,1.34,1.21,1.3599999999999999
ASTRAZEN,38.269999999999996,38.519999999999996,69.66,43.97,15.989999999999998,1.16,-3.36,-2.22
ABBOTINDIA,28.83,3.54,28.77,11.33,2.97,1.41,1.3299999999999998,0.74
NATCOPHARM,71.78999999999999,39.900000000000006,61.150000000000006,42.89,8.63,-1.91,-5.76,-3.26
DRREDDY,14.71,3.53,23.0,9.32,-0.52,-1.1900000000000002,-0.8,0.19
ERIS,50.49,55.08,55.14,61.62,34.86,6.61,-3.7699999999999996,-1.22
APOLLOHOSP,25.480000000000004,17.2,41.82,11.62,10.81,0.09,1.87,2.2399999999999998
