,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
TCS,20.25,11.14,34.870000000000005,13.44,17.29,0.04,0.64,1.15
INFY,25.7,15.870000000000001,36.89,20.73,27.85,-1.38,-0.53,0.5499999999999999
MAPMYINDIA,4.8500000000000005,12.879999999999999,18.759999999999998,13.26,3.15,-4.54,0.5599999999999999,1.03
HAPPSTMNDS,-8.98,-3.71,-9.98,-1.49,-8.709999999999999,0.02,1.4000000000000001,0.79
AFFLE,20.560000000000002,40.82,45.72,44.47,24.87,-5.18,-2.1,-2.87
HCLTECH,24.88,9.19,57.91,12.19,25.47,3.47,-0.33999999999999997,1.31
TATATECH,-6.67,1.67,-16.11,2.42,3.95,1.13,3.29,-1.95
COFORGE,9.6,4.61,30.28,8.55,31.91,8.82,7.5200000000000005,2.75
SONATSOFTW,-9.45,-17.06,32.129999999999995,-18.25,17.01,7.04,-0.01,-3.02
TANLA,-12.889999999999999,-3.2300000000000004,-1.6199999999999999,-1.71,2.75,-2.9899999999999998,1.51,0.08
TATAELXSI,-9.44,1.49,7.1,3.46,11.85,-4.58,1.32,3.44
TECHM,28.64,28.52,38.22,28.660000000000004,21.32,-1.23,-2.3,-0.98
INTELLECT,19.78,-9.4,41.64,-8.04,-1.68,1.71,1.5,0.25
CYIENT,-11.06,0.7000000000000001,27.61,4.26,9.43,0.36,1.55,0.53
BSOFT,-10.58,-16.919999999999998,31.56,-15.049999999999999,-4.18,-3.0700000000000003,-2.92,-1.92
MASTEK,-2.19,-6.25,20.880000000000003,-7.870000000000001,-0.18,-7.430000000000001,-2.86,0.74
KPITTECH,16.470000000000002,12.13,52.580000000000005,17.93,19.11,-4.91,0.38,1.51
LTTS,9.16,8.18,31.34,9.0,17.65,0.33999999999999997,0.24,1.35
LTIM,1.67,20.73,24.18,24.72,30.520000000000003,3.52,4.4799999999999995,2.8899999999999997
WIPRO,11.790000000000001,1.38,29.39,2.4299999999999997,10.440000000000001,-1.66,1.27,0.9900000000000001
PERSISTENT,43.59,22.49,104.61,28.16,41.56,5.53,0.47000000000000003,1.6199999999999999
OFSS,175.63,51.33,187.47,50.11,33.410000000000004,2.15,0.3,3.7699999999999996
ZENSARTECH,31.419999999999998,45.5,61.5,47.27,15.53,1.8800000000000001,0.27,1.7999999999999998
LATENTVIEW,8.33,-3.3000000000000003,15.959999999999999,-2.55,-2.6,0.1,3.7199999999999998,4.35
MPHASIS,14.860000000000001,20.23,33.019999999999996,23.69,31.569999999999997,-0.29,-0.27,0.95
