,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
ADANIENT,10.74,-3.9699999999999998,27.46,-2.16,1.87,1.5699999999999998,1.21,4.5
SAIL,7.06,8.37,44.2,-10.16,-12.94,-2.91,-4.89,-1.41
GMDCLTD,-17.16,-13.530000000000001,19.15,-13.25,-20.28,-9.85,-5.319999999999999,5.71
LLOYDSME,64.14999999999999,65.28,83.69,53.11,30.509999999999998,12.55,-0.22999999999999998,8.23
HINDZINC,67.80000000000001,74.15,82.48,56.989999999999995,-20.49,-1.1199999999999999,-3.34,2.03
JSL,30.320000000000004,16.400000000000002,58.099999999999994,6.09,-6.12,-5.89,-3.63,-1.97
NATIONALUM,66.25,38.93,138.05,22.06,8.62,9.77,-3.7199999999999998,-0.27999999999999997
TATASTEEL,16.24,15.2,27.97,-0.66,-5.3100000000000005,-1.6099999999999999,-4.74,-3.2199999999999998
NSLNISP,-1.32,-17.39,0.04,-18.0,-12.01,-1.17,-3.54,-0.8
VEDL,107.28999999999999,99.94,168.52,68.03,14.62,3.42,-3.0300000000000002,-0.8099999999999999
JSWSTEEL,13.86,25.27,30.490000000000002,16.939999999999998,7.470000000000001,1.21,-4.29,-2.3800000000000003
NMDC,10.37,-0.08,63.06,3.5900000000000003,-7.829999999999999,-0.72,-6.36,-1.9900000000000002
HINDCOPPER,14.89,16.53,101.15,-2.48,-5.8500000000000005,-7.86,-7.180000000000001,0.61
HINDALCO,19.009999999999998,45.23,56.74,28.360000000000003,5.54,1.27,-2.62,-0.51
JAIBALAJI,47.17,-12.58,167.92000000000002,12.22,26.919999999999998,-1.48,1.09,10.25
JINDALSTEL,33.879999999999995,29.03,46.89,9.370000000000001,-0.62,-2.09,-4.9,-0.11
