,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
MRPL,59.01,-7.580000000000001,148.35,-16.520000000000003,-2.4,-3.3300000000000005,-2.0,-1.4000000000000001
MGL,51.78,21.759999999999998,84.83000000000001,19.650000000000002,38.62,3.1,-1.41,0.96
GAIL,49.8,29.2,114.23,30.599999999999998,17.32,5.28,0.6,0.09
OIL,197.33,102.46,295.40999999999997,89.09,71.02000000000001,33.650000000000006,6.64,3.42
ONGC,63.46000000000001,24.85,94.76,21.029999999999998,21.52,3.38,1.8499999999999999,-0.02
PETRONET,66.67999999999999,35.709999999999994,74.21,32.21,24.89,4.92,-3.5000000000000004,-0.61
COALINDIA,43.02,21.73,146.34,22.79,9.28,7.66,-0.47000000000000003,-2.18
RELIANCE,16.32,2.92,18.89,2.4299999999999997,4.35,0.51,0.01,-0.95
GUJGASLTD,30.17,6.260000000000001,34.19,6.22,8.23,-7.3999999999999995,0.8999999999999999,0.22
GSPL,29.53,7.4399999999999995,48.809999999999995,6.05,36.51,21.94,18.65,5.1499999999999995
CHENNPETRO,45.96,14.91,181.76000000000002,8.540000000000001,7.04,-4.47,-2.3800000000000003,-3.17
HINDPETRO,61.870000000000005,23.21,146.69,15.53,16.73,18.25,0.02,0.38
IOC,39.4,9.34,106.24,-0.7100000000000001,9.67,2.94,-0.02,0.16999999999999998
IGL,28.77,26.46,25.53,23.03,16.73,-1.8399999999999999,-0.31,2.58
ATGL,-14.06,-17.22,33.98,-16.85,-10.7,-4.68,-1.41,-0.8500000000000001
CASTROLIND,58.46,36.67,97.66,41.04,48.57,2.86,1.26,4.12
AEGISCHEM,,,,,,,,
BPCL,59.46,19.0,110.83000000000001,13.489999999999998,13.420000000000002,14.08,-0.5599999999999999,-0.8500000000000001
