,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
ADANIPOWER,22.770000000000003,17.24,67.95,15.040000000000001,-9.48,-3.39,-3.1,-1.7399999999999998
TORNTPOWER,101.44,72.8,164.57,30.930000000000003,22.720000000000002,-1.54,-1.67,-1.0699999999999998
ADANIGREEN,13.200000000000001,-4.6,77.44,-4.26,2.32,-12.53,-12.15,-4.99
TATAPOWER,42.699999999999996,27.500000000000004,84.36,16.470000000000002,8.15,0.79,-0.89,-2.2399999999999998
NLCINDIA,12.93,27.91,120.34,22.939999999999998,8.37,-0.54,2.56,0.16
NTPC,42.4,30.75,88.0,28.17,17.65,-0.16999999999999998,0.16999999999999998,-1.77
NHPC,46.86,6.0,82.27,3.25,-9.81,0.04,-0.5,-2.1
CESC,50.74999999999999,52.51,119.98,54.15,21.64,-6.09,-5.2,-3.95
ADANIENSOL,-2.86,-4.6,21.060000000000002,-8.649999999999999,-0.97,-2.71,-2.01,0.61
POWERGRID,48.74,22.68,80.60000000000001,23.87,3.5900000000000003,-5.390000000000001,-5.83,-2.4699999999999998
SJVN,41.63,5.33,78.29,1.76,-9.11,0.02,0.79,-4.17
JSWENERGY,73.8,39.87,68.43,37.13,-2.27,-9.610000000000001,-8.73,-3.34
