,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
OBEROIRLTY,41.63,51.83,79.95,39.94,13.76,5.53,3.09,1.68
SUNTECK,26.44,21.86,31.36,36.07,-2.65,3.61,0.62,1.51
GODREJPROP,39.660000000000004,17.26,69.42,1.97,-3.8899999999999997,-2.15,-2.46,-0.76
SOBHA,67.60000000000001,5.55,131.75,-5.99,-3.46,2.76,3.06,3.65
SIGNATURE,57.75,0.8,142.76,11.450000000000001,-2.18,-0.16999999999999998,-0.19,1.7000000000000002
LODHA,19.139999999999997,4.65,54.81,8.52,-2.0,3.2300000000000004,0.8200000000000001,4.79
PRESTIGE,39.839999999999996,41.3,115.31,10.75,-4.05,0.05,0.44999999999999996,2.96
MAHLIFE,-4.71,-10.459999999999999,5.510000000000001,-13.83,-7.85,5.89,2.37,5.91
PHOENIXLTD,35.410000000000004,10.100000000000001,67.43,7.539999999999999,-9.62,-3.26,-2.25,0.97
DLF,11.23,-10.34,43.39,-3.45,-3.3099999999999996,-2.78,-2.4699999999999998,0.54
BRIGADE,29.049999999999997,15.620000000000001,88.03999999999999,9.99,2.67,-3.4799999999999995,-7.68,-5.18
