,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
ALLCARGO,-14.6,-19.439999999999998,0.03,-15.939999999999998,5.89,-0.8699999999999999,0.97,4.92
ADANIPORTS,40.26,8.799999999999999,81.36,8.450000000000001,3.0700000000000003,-2.67,-2.3800000000000003,-0.37
ECLERX,7.6899999999999995,10.67,71.85000000000001,14.59,16.93,-2.41,-3.92,0.5
REDINGTON,11.73,-4.46,25.94,-3.5900000000000003,-10.9,-6.29,-3.52,-1.08
CONCOR,9.700000000000001,-3.93,41.199999999999996,-3.36,-17.73,-3.5900000000000003,-2.42,-1.05
MMTC,56.3,20.919999999999998,122.02,21.94,19.88,-8.77,-4.77,-0.76
QUESS,53.21,54.58,87.68,57.37,30.06,0.4,-3.4299999999999997,-2.2399999999999998
INDIGO,65.16,55.300000000000004,101.25,59.63,13.950000000000001,0.83,1.49,1.91
DELHIVERY,5.45,-13.239999999999998,-6.18,-10.63,5.609999999999999,-2.52,-1.82,0.38999999999999996
JSWINFRA,59.019999999999996,29.14,110.57999999999998,32.18,16.74,0.12,6.99,6.1
TVSSCS,5.88,16.3,4.8500000000000005,21.55,18.7,7.55,1.43,2.9000000000000004
BLUEDART,11.200000000000001,35.66,30.320000000000004,39.01,4.87,-1.3599999999999999,0.9900000000000001,0.43
FSL,75.83,55.25,99.15,62.849999999999994,59.93000000000001,4.38,-0.09,2.75
GMRINFRA,14.89,10.17,49.86,11.899999999999999,2.67,-2.2399999999999998,-3.37,1.82
GPPL,52.580000000000005,11.63,84.59,15.98,17.36,0.43,-1.0999999999999999,2.4299999999999997
GESHIP,34.03,29.299999999999997,72.66,30.680000000000003,11.020000000000001,-2.31,-4.01,0.38
