,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
ITI,-0.06999999999999999,1.9800000000000002,166.74,-3.27,4.44,-0.33999999999999997,0.5,2.44
RAILTEL,49.1,12.26,201.29000000000002,34.11,21.19,-0.38999999999999996,6.419999999999999,-0.22
ROUTE,-0.9299999999999999,-0.8999999999999999,3.7900000000000005,-0.97,11.73,-10.7,0.72,-0.96
IDEA,-0.19,17.0,106.06,4.04,7.91,2.5,-1.4200000000000002,1.1400000000000001
STLTECH,-4.8500000000000005,-0.75,-10.61,-6.1899999999999995,8.53,-7.739999999999999,-1.31,-1.8399999999999999
HFCL,73.92999999999999,36.4,115.82,30.45,40.26,22.52,0.52,0.13999999999999999
TATACOMM,9.93,1.1900000000000002,14.719999999999999,8.4,8.690000000000001,4.33,0.5,-0.9900000000000001
TTML,5.63,10.7,25.4,8.9,29.69,-6.81,1.39,4.84
TEJASNET,50.949999999999996,75.82,53.879999999999995,74.92999999999999,11.55,-0.08,0.48,3.63
BHARTIARTL,51.62,39.32,82.67999999999999,37.29,13.65,7.55,4.71,2.83
INDUSTOWER,123.29,75.81,174.44,103.08,30.36,4.29,2.1999999999999997,2.59
