,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
Automobile and Auto Components,30.81,23.13,51.18000000000001,21.09,-2.85,-5.3100000000000005,-5.59,-3.6799999999999997
Capital Goods,33.53,30.049999999999997,54.169999999999995,21.46,-9.55,-5.7299999999999995,-5.35,-3.5000000000000004
Chemicals,15.07,22.29,31.35,20.01,1.8900000000000001,-4.83,-5.609999999999999,-5.46
Construction,52.459999999999994,13.100000000000001,72.04,11.3,-14.48,-8.97,-8.450000000000001,-4.7
Construction Materials,3.36,3.7800000000000002,20.79,3.55,-1.08,-2.98,-3.81,-3.3099999999999996
Consumer Durables,21.43,21.67,25.430000000000003,21.68,6.2,-4.7,-3.9800000000000004,-3.1
Consumer Services,21.740000000000002,13.889999999999999,32.800000000000004,11.21,1.68,-6.12,-5.04,-2.91
Diversified,10.51,3.7800000000000002,43.88,8.110000000000001,-5.48,-8.4,-6.97,-4.32
Fast Moving Consumer Goods,23.630000000000003,22.68,36.28,23.330000000000002,7.79,-5.0200000000000005,-5.52,-3.66
Financial Services,19.21,11.75,36.78,9.08,0.8999999999999999,-5.7700000000000005,-5.0200000000000005,-3.15
Forest Materials,68.5,61.660000000000004,84.41,52.32,2.5700000000000003,1.49,0.8099999999999999,-0.75
Healthcare,37.980000000000004,26.25,63.05,25.6,14.2,-2.55,-2.18,-1.6099999999999999
Information Technology,9.85,5.510000000000001,28.28,7.28,2.06,-2.74,-2.46,-0.98
Media Entertainment & Publication,-5.46,-1.1900000000000002,7.55,5.56,-2.69,-7.22,-7.670000000000001,-6.660000000000001
Metals & Mining,30.43,22.07,67.14,14.62,-2.9000000000000004,-1.37,-4.53,-4.46
Oil Gas & Consumable Fuels,41.6,12.559999999999999,79.17,9.98,1.35,-3.45,-5.65,-3.52
Power,37.16,19.57,85.88,10.0,-0.95,-8.18,-7.06,-4.92
Realty,40.2,18.34,93.7,16.31,-6.569999999999999,-8.649999999999999,-6.81,-3.0300000000000002
Services,25.590000000000003,13.19,50.21,12.379999999999999,-0.27,-5.58,-4.71,-3.25
Telecommunication,13.819999999999999,7.16,30.37,7.670000000000001,-12.120000000000001,-9.74,-8.1,-5.82
Textiles,12.139999999999999,2.7199999999999998,18.240000000000002,-0.44,-10.7,-6.1899999999999995,-5.8999999999999995,-4.66
