,number
2001-01-01,0
2001-01-02,1
2001-01-03,2
2001-01-04,3
2001-01-05,4
2001-01-08,5
2001-01-09,6
2001-01-10,7
2001-01-11,8
2001-01-12,9
2001-01-15,10
2001-01-16,11
2001-01-17,12
2001-01-18,13
2001-01-19,14
2001-01-22,15
2001-01-23,16
2001-01-24,17
2001-01-25,18
2001-01-29,19
2001-01-30,20
2001-01-31,21
2001-02-01,22
2001-02-02,23
2001-02-05,24
2001-02-06,25
2001-02-07,26
2001-02-08,27
2001-02-09,28
2001-02-12,29
2001-02-13,30
2001-02-14,31
2001-02-15,32
2001-02-16,33
2001-02-19,34
2001-02-20,35
2001-02-21,36
2001-02-22,37
2001-02-23,38
2001-02-26,39
2001-02-27,40
2001-02-28,41
2001-03-01,42
2001-03-02,43
2001-03-05,44
2001-03-07,45
2001-03-08,46
2001-03-09,47
2001-03-12,48
2001-03-13,49
2001-03-14,50
2001-03-15,51
2001-03-16,52
2001-03-19,53
2001-03-20,54
2001-03-21,55
2001-03-22,56
2001-03-23,57
2001-03-26,58
2001-03-27,59
2001-03-28,60
2001-03-29,61
2001-03-30,62
2001-04-02,63
2001-04-03,64
2001-04-04,65
2001-04-06,66
2001-04-09,67
2001-04-10,68
2001-04-11,69
2001-04-12,70
2001-04-16,71
2001-04-17,72
2001-04-18,73
2001-04-19,74
2001-04-20,75
2001-04-23,76
2001-04-24,77
2001-04-25,78
2001-04-26,79
2001-04-27,80
2001-04-30,81
2001-05-02,82
2001-05-03,83
2001-05-04,84
2001-05-07,85
2001-05-08,86
2001-05-09,87
2001-05-10,88
2001-05-11,89
2001-05-14,90
2001-05-15,91
2001-05-16,92
2001-05-17,93
2001-05-18,94
2001-05-21,95
2001-05-22,96
2001-05-23,97
2001-05-24,98
2001-05-25,99
2001-05-28,100
2001-05-29,101
2001-05-30,102
2001-05-31,103
2001-06-01,104
2001-06-04,105
2001-06-05,106
2001-06-06,107
2001-06-07,108
2001-06-08,109
2001-06-11,110
2001-06-12,111
2001-06-13,112
2001-06-14,113
2001-06-15,114
2001-06-18,115
2001-06-19,116
2001-06-20,117
2001-06-21,118
2001-06-22,119
2001-06-25,120
2001-06-26,121
2001-06-27,122
2001-06-28,123
2001-06-29,124
2001-07-02,125
2001-07-03,126
2001-07-04,127
2001-07-05,128
2001-07-06,129
2001-07-09,130
2001-07-10,131
2001-07-11,132
2001-07-12,133
2001-07-13,134
2001-07-16,135
2001-07-17,136
2001-07-18,137
2001-07-19,138
2001-07-20,139
2001-07-23,140
2001-07-24,141
2001-07-25,142
2001-07-26,143
2001-07-27,144
2001-07-30,145
2001-07-31,146
2001-08-01,147
2001-08-02,148
2001-08-03,149
2001-08-06,150
2001-08-07,151
2001-08-08,152
2001-08-09,153
2001-08-10,154
2001-08-13,155
2001-08-14,156
2001-08-16,157
2001-08-17,158
2001-08-20,159
2001-08-21,160
2001-08-23,161
2001-08-24,162
2001-08-27,163
2001-08-28,164
2001-08-29,165
2001-08-30,166
2001-08-31,167
2001-09-03,168
2001-09-04,169
2001-09-05,170
2001-09-06,171
2001-09-07,172
2001-09-10,173
2001-09-11,174
2001-09-12,175
2001-09-13,176
2001-09-14,177
2001-09-17,178
2001-09-18,179
2001-09-19,180
2001-09-20,181
2001-09-21,182
2001-09-24,183
2001-09-25,184
2001-09-26,185
2001-09-27,186
2001-09-28,187
2001-10-01,188
2001-10-03,189
2001-10-04,190
2001-10-05,191
2001-10-08,192
2001-10-09,193
2001-10-10,194
2001-10-11,195
2001-10-12,196
2001-10-15,197
2001-10-16,198
2001-10-17,199
2001-10-18,200
2001-10-19,201
2001-10-22,202
2001-10-23,203
2001-10-24,204
2001-10-25,205
2001-10-29,206
2001-10-30,207
2001-10-31,208
2001-11-01,209
2001-11-02,210
2001-11-05,211
2001-11-06,212
2001-11-07,213
2001-11-08,214
2001-11-09,215
2001-11-12,216
2001-11-13,217
2001-11-14,218
2001-11-15,219
2001-11-19,220
2001-11-20,221
2001-11-21,222
2001-11-22,223
2001-11-23,224
2001-11-26,225
2001-11-27,226
2001-11-28,227
2001-11-29,228
2001-12-03,229
2001-12-04,230
2001-12-05,231
2001-12-06,232
2001-12-07,233
2001-12-10,234
2001-12-11,235
2001-12-12,236
2001-12-13,237
2001-12-14,238
2001-12-18,239
2001-12-19,240
2001-12-20,241
2001-12-21,242
2001-12-24,243
2001-12-26,244
2001-12-27,245
2001-12-28,246
2001-12-31,247
2002-01-01,248
2002-01-02,249
2002-01-03,250
2002-01-04,251
2002-01-07,252
2002-01-08,253
2002-01-09,254
2002-01-10,255
2002-01-11,256
2002-01-14,257
2002-01-15,258
2002-01-16,259
2002-01-17,260
2002-01-18,261
2002-01-21,262
2002-01-22,263
2002-01-23,264
2002-01-24,265
2002-01-25,266
2002-01-28,267
2002-01-29,268
2002-01-30,269
2002-01-31,270
2002-02-01,271
2002-02-04,272
2002-02-05,273
2002-02-06,274
2002-02-07,275
2002-02-08,276
2002-02-11,277
2002-02-12,278
2002-02-13,279
